aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
21,45,30,40,20,20.57142857,0.031818788,0.4500015,0.016538462,0.20000075,0.007,0.050368106,18.54786765,99.94919389,89.65551396,6.952512868,0.450774183,1032.66251,273.2733677
21,18,27.27272727,36,24,24,0.047727955,0.270002,0.10993007,0.18000075,0.007,0.095906977,22.53273087,205.3714412,118.1216841,6.639779785,0.348350557,497.9003669,274.9581372
16.8,25.71428571,75,90,30,12,0.229092727,0.257144357,0.216346538,0.45000075,0.007,0.078906977,24.00172112,144.4398829,84.40489172,7.577568047,0.249514426,507.8544116,258.4664814
18.66666667,30,37.5,36,10,16,0.084849394,0.07500075,0.050481,0.012,0.053,0.055683721,21.88510164,109.2049812,97.76872654,8.604094064,0.169439079,509.9611027,300.2276255
24,30,42.85714286,36,30,16,0.218183182,0.450002,0.029435016,0.18000075,0.0350002,0.017,27.24897169,96.28492666,127.4388245,7.86491353,0.404807976,553.5839181,246.9002692
24,36,25,32.72727273,40,13.09090909,0.054546136,0.180001,0.112115385,0.092181818,0.007,0.026049331,19.24080087,100.2033951,99.84474499,5.702291115,0.968056669,550.638002,246.3232139
33.6,22.5,27.27272727,72,17.14285714,14.4,0.030546,0.112501,0.01,0.1800005,0.022514286,0.107069767,28.60221256,98.71475901,164.7790281,8.663751376,0.327230626,514.4645808,309.4581038
16.8,25.71428571,42.85714286,45,40,18,0.054546234,0.1800012,0.041208984,0.012,0.100000333,0.017,22.78630655,103.1392223,87.8381326,7.165668271,0.485137234,484.8789504,266.8322762
18.66666667,15,30,60,10.90909091,48,0.06060684,0.006,0.012,0.050000333,0.009309091,0.111628256,23.31935809,95.14129345,90.4121211,6.249955843,0.386958447,517.3766737,278.4941198
18.66666667,22.5,27.27272727,30,15,48,0.028283434,0.037500667,0.041853147,0.0294,0.018166667,0.017,22.63261644,97.39300099,88.41687353,6.655143398,0.666519816,504.0748136,253.6477727
56,20,27.27272727,51.42857143,15,18,0.084849091,0.300002,0.10993007,0.042857476,0.048833333,0.017,16.09196453,97.78501286,99.66043694,9.354141678,1.095787617,502.3006816,257.5036386
28,20,25,30,30,36,0.042424848,0.071429429,0.044038462,0.012,0.007,0.12558186,20.77140606,91.10658134,87.21635618,6.6431407,0.505007678,583.5497239,306.9017332
18.66666667,25.71428571,100,60,10,36,0.254547273,0.128572429,0.068681484,0.1500005,0.012111111,0.083721279,24.77675952,94.75103017,107.9665884,7.200880414,0.297784432,473.6188023,293.7632302
33.6,18,33.33333333,30,40,48,0.050909697,0.090001,0.104102564,0.099,0.046666867,0.039867309,18.30460217,93.07834719,87.29858401,7.689242858,0.377129651,586.7448213,269.1913062
24,18,100,60,40,48,0.021818727,0.008182364,0.03205141,0.075000375,0.100000333,0.017,22.41250232,108.5471466,88.80025555,9.567681384,0.440604051,536.9340019,251.5204126
33.6,15,33.33333333,51.42857143,15,36,0.213819273,0.033,0.013333333,0.257143607,0.007,0.041860698,23.7145459,110.4435937,132.1907985,7.186370739,0.298170672,530.1698882,264.4687072
21,15,50,51.42857143,13.33333333,14.4,0.286365455,0.033,0.016025769,0.257143607,0.025688889,0.036318937,24.56011757,96.27797255,95.01697149,6.785538288,0.219778825,558.3687815,360.3407444
42,25.71428571,42.85714286,30,10.90909091,20.57142857,0.19091,0.064286464,0.123626758,0.012,0.013909091,0.022509967,22.21521487,156.5286224,86.58548926,7.342584145,0.411341942,527.9592155,274.0212537
33.6,45,33.33333333,45,40,24,0.030546,0.225001,0.049641026,0.0225003,0.023809667,0.064953488,18.10571524,138.4092133,109.9327876,6.214636854,0.4587224,614.3284867,263.4914382
56,25.71428571,30,120,24,18,0.084849091,0.128572429,0.012,0.4200006,0.007,0.03213289,22.71374881,112.6359053,87.98310685,8.154190684,0.307755922,863.5695492,258.7241121
21,20,37.5,40,13.33333333,14.4,0.005,0.100001,0.01,0.1400006,0.009333333,0.036318937,19.40362875,88.34417404,145.2310487,6.325559066,0.302500695,527.059172,261.3411739
18.66666667,18,25,90,24,18,0.005,0.1800015,0.057653846,0.3150006,0.014285857,0.03213289,26.96545356,102.8446333,100.9531405,7.636071666,0.413125467,666.8169342,280.4118736
